Film,OscarYear,FilmStudio/Producer(s),Award,AwardBinary,YearofRelease,MovieTime,MovieGenre1,MovieGenre2,MovieGenre3,IMDBRating,IMDBVotes,MovieInfo,CriticConsensus,ContentRating,Directors,Authors,Actors,Actors2,Actors3,OriginalReleaseDate,StreamingReleaseDate,ProductionCompany,TomatometerStatus,TomatometerRating,TomatometerCount,AudienceStatus,AudienceRating,AudienceCount,TomatometerTopCriticsCount,TomatometerFreshCriticsCount,TomatometerRottenCriticsCount,FilmID
Top Hat,1935,RKO Radio,Nominee,0,1935,101,Comedy,Musical,Romance,7.8,18339,"The story centers on wealthy Dale Tremont (Ginger Rogers), on holiday in London and Venice. She assumes that American entertainer Jerry Travers (Fred Astaire) is the husband of her friend Madge (Helen Broderick) -- who's actually the wife of Jerry's business manager Horace Hardwick (Edward Everett Horton).","A glamorous and enthralling Depression-era diversion, Top Hat is nearly flawless, with acrobatics by Fred Astaire and Ginger Rogers that make the hardest physical stunts seem light as air.",NR,Mark Sandrich,"Dwight Taylor, Allan Scott",Fred Astaire, Ginger Rogers, Edward Everett Horton,13033,39678,Turner Home Entertainment,Certified-Fresh,100,42,Upright,91,9847,9,42,0,c7ea701f-f0be-4108-b734-14412b70d3b2
Three Smart Girls,1936,Universal,Nominee,0,1936,84,Comedy,Musical,Romance,6.7,1344,"This lighthearted musical follows the travails of 14-year-old Penny Craig (Deanna Durbin) and her two older sisters as they attempt to reignite a romance between their mother and their estranged father before he weds a fortune-hunter. Leaving their home in Switzerland, the three young women journey to New York City and hire a washed-up count (Mischa Auer) to break up their father's engagement, wreaking plenty of wholesome havoc for all concerned.",,NR,Henry Koster,"Adele Comandini, Austin Parker",Deanna Durbin, Ray Milland, Binnie Barnes,13504,42131,Universal Pictures,Fresh,86,7,Spilled,50,474,2,6,1,8866b966-f0a8-4881-88f6-ac7c24e9e1e5
Romeo and Juliet,1936,Metro-Goldwyn-Mayer,Nominee,0,1936,125,Drama,Romance,NG,6.5,1910,"In this classic Hollywood take on Shakespeare's tragic romance, dashing young Romeo (Leslie Howard), a Montague, falls in love with the radiant Juliet (Norma Shearer), a member of the Capulet family, the Montagues' sworn enemies. Willing to defy the families' feud, the two secretly get married, however their happy day turns tragic when Juliet's cousin, Tybalt (Basil Rathbone) kills Romeo's best friend, Mercutio (John Barrymore), prompting Romeo to retaliate.",,NR,George Cukor,Talbot Jennings,Leslie Howard, Norma Shearer, John Barrymore,13396,42695,MGM,Fresh,78,9,Spilled,50,6,0,7,2,1b04f1e8-f46b-403f-a5df-89ebebb52e4a
The Story of Louis Pasteur,1936,Cosmopolitan,Nominee,0,1936,86,Biography,Drama,History,7.3,2601,,,NR,William Dieterle,,Paul Muni, Josephine Hutchinson, Anita Louise,,,Warner Bros. Pictures,,100,9,,74,250,2,9,0,40acf99f-bc62-45ee-a766-0297530113d1
Anthony Adverse,1936,Warner Bros.,Nominee,0,1936,141,Adventure,Drama,Romance,6.4,1706,,,NR,Mervyn LeRoy,,Fredric March, Olivia de Havilland, Gale Sondergaard,,,Warner Bros. Pictures,,20,10,,49,250,4,2,8,339e98eb-684b-4a4e-a67c-9a3ffb5f0de9
San Francisco,1936,Metro-Goldwyn-Mayer,Nominee,0,1936,115,Drama,Musical,Romance,7.2,5254,"Blackie Norton (Clark Gable) is a nightclub owner who hires a down-on-her-luck singer for his club, Mary Blake (Jeanette MacDonald). The two hit it off and even become romantically involved, but soon she is courted by real-estate magnate Jack Burley (Jack Holt) to sing at the Tivoli Opera House. At first she refuses, but when she sees questionable posters of her put up by Blackie, she leaves, forcing Blackie to find a way to win her and his business back.",,NR,D.W. Griffith,"Anita Loos, Erich von Stroheim, Robert E. Hopkins",Clark Gable, Jeanette MacDonald, Spencer Tracy,13327,39904,MGM,Fresh,100,11,Upright,70,1337,0,11,0,d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
A Tale of Two Cities,1936,Metro-Goldwyn-Mayer,Nominee,0,1935,128,Drama,History,Romance,7.8,5508,"This adaptation of the classic novel by Charles Dickens finds courageous British lawyer Sydney Carton (Ronald Colman) defending French aristocrat Charles Darnay (Donald Woods) from false accusations of treason against England. Carton also becomes enamored of Darnay's beautiful bride-to-be, Lucie (Elizabeth Allan), but she and Darnay marry and begin to raise a family in France. Then, when Darnay falls into the hands of French revolutionaries, Carton once again comes to his rescue.",,NR,Jack Conway,"S.N. Behrmann, W.P. Lipscomb",Ronald Colman, Elizabeth Allan, Edna May Oliver,12785,41015,Warner Bros. Pictures,Fresh,92,13,Upright,84,2145,0,12,1,da9c58f7-84b6-4d02-a66a-b5b19d3eea7f
Libeled Lady,1936,Metro-Goldwyn-Mayer,Nominee,0,1936,98,Comedy,Romance,NG,7.9,7509,"When a major newspaper accuses wealthy socialite Connie Allenbury (Myrna Loy) of being a home-wrecker, and she files a multi-million-dollar libel lawsuit, the publication's frazzled head editor, Warren Haggerty (Spencer Tracy), must find a way to turn the tables on her. Soon Haggerty's harried fiancée, Gladys Benton (Jean Harlow), and his dashing friend Bill Chandler (William Powell) are in on a scheme that aims to discredit Connie, with amusing and unexpected results.",,NR,Jack Conway,"George Oppenheimer, Maurine Dallas Watkins, Wallace Sullivan, Howard Emmet Rogers, Maurine Watkins",Myrna Loy, William Powell, Spencer Tracy,13150,41611,Warner Bros. Pictures,Fresh,86,14,Upright,88,2696,0,12,2,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
Dodsworth,1936,Samuel Goldwyn Productions,Nominee,0,1936,101,Drama,Romance,NG,7.8,8668,"When Sam Dodsworth (Walter Huston), the head of a car company, embarks on a vacation in Europe with his youth-obsessed wife, Fran (Ruth Chatterton), the couple find themselves growing apart. Soon Fran is flirting with other men and embracing a spontaneous and impulsive lifestyle, while Sam is left on his own. However, after running into the lively and independent Edith Cortwright (Mary Astor), an acquaintance from their transatlantic trip, Sam realizes that he may find love again.",,NR,William Wyler,Sidney Howard,Walter Huston, Ruth Chatterton, Paul Lukas,13416,43900,Samuel Goldwyn Films,Fresh,90,20,Upright,86,1466,3,18,2,693ad8e8-f9cf-4c4d-b332-18026348de67
Mr. Deeds Goes to Town,1936,Columbia,Nominee,0,1936,115,Comedy,Drama,Romance,7.9,20594,"Longfellow Deeds (Gary Cooper), a resident of small-town Vermont, leads a simple life until he inherits a vast fortune from a late uncle. Soon, unscrupulous lawyer John Cedar (Douglas Dumbrille) brings Deeds to New York City, where the unassuming heir is the object of much media attention. When wily reporter Babe Bennett (Jean Arthur) gains the trust and affection of Deeds, she uses her position to publish condescending articles about him -- but are her feelings for him really that shallow?",,NR,Frank Capra,Robert Riskin,Gary Cooper, Jean Arthur, George Bancroft,13252,41015,Columbia Pictures,Fresh,90,21,Upright,86,9236,0,19,2,9a189d11-e4f6-4b2b-9762-702806ce4a85
The Great Ziegfeld,1936,Metro-Goldwyn-Mayer,Winner,1,1936,176,Biography,Drama,Musical,6.7,7665,"This lively biopic depicts the rise of Florenz Ziegfeld (William Powell), a theater producer who became renowned during the 1920s for his lavish stage productions. Starting out by promoting individual performers, Ziegfeld established revues featuring dozens of women, shows that developed into his famous Ziegfeld Follies on Broadway. His appreciation of women is also apparent off-stage, leading to a love triangle involving actresses Anna Held (Luise Rainer) and Billie Burke (Myrna Loy).","This biopic is undeniably stylish, but loses points for excessive length, an overreliance on clichés, and historical inaccuracies.",NR,Robert Z. Leonard,William Anthony McGuire,William Powell, Luise Rainer, Myrna Loy,13150,42692,MGM,Fresh,62,34,Spilled,50,2778,7,21,13,321ede7b-fac6-4259-b070-b403b3404042
One Hundred Men and a Girl,1937,Universal,Nominee,0,1937,84,Comedy,Drama,Music,6.8,1029,,,nr,Henry Koster,,Deanna Durbin, Leopold Stokowski, Adolphe Menjou,,,Universal Pictures,,88,8,,57,100,1,7,1,c3d7ac23-64c7-48e5-8aba-c2af3f5b23eb
Dead End,1937,Samuel Goldwyn Productions,Nominee,0,1937,93,Crime,Drama,Film-Noir,7.3,7083,"Mobster ""Baby Face"" Martin (Humphrey Bogart) returns home to visit to the New York neighborhood where he grew up, dropping in on his mother (Marjorie Main), who rejects him because of his gangster lifestyle, and his old girlfriend, Francey (Claire Trevor), now a syphilitic prostitute. Martin also crosses paths with Dave (Joel McCrea), a childhood friend struggling to make it as an architect, and the Dead End Kids, a gang of young boys roaming the streets of the city's East Side slums.",,NR,William Wyler,Lillian Hellman,Sylvia Sidney, Joel McCrea, Humphrey Bogart,13754,43921,MGM,Fresh,91,11,Upright,76,2021,0,10,1,5df24f1d-57f8-4d1d-a15d-df07ea5715b1
In Old Chicago,1937,20th Century-Fox,Nominee,0,1938,95,Action,Drama,Musical,6.8,2233,,,NR,Henry King,,Tyrone Power, Alice Faye, Don Ameche,,,20th Century Fox,,67,12,,54,1000,5,8,4,1957aeb5-48c9-423c-8a3d-1f918ba388d2
Lost Horizon,1937,Columbia,Nominee,0,1937,132,Adventure,Drama,Fantasy,7.7,12513,"Based on a novel by James Hilton, this fantastical drama follows a group of plane-crash survivors who have landed in the mythical Shangri-La, a valley hidden deep within the mountains of the Himalayas. Rescued by followers of the High Llama (Sam Jaffe), the outsiders grow to love the remote paradise, but British writer and diplomat Robert Conway (Ronald Colman), suspecting that the crash was no accident, begins to investigate, leading to a surprising revelation.",,NR,Frank Capra,Robert Riskin,Ronald Colman, Jane Wyatt, John Howard,13759,42479,Sony Pictures Home Entertainment,Fresh,93,14,Upright,83,5550,1,13,1,20f2a079-71bd-4c1c-aff7-46237962b8cb
Captains Courageous,1937,Metro-Goldwyn-Mayer,Nominee,0,1937,117,Adventure,Drama,Family,8,9243,"When spoiled Harvey Cheyne (Freddie Bartholomew) is suspended from boarding school, his businessman father (Melvyn Douglas) takes him to Europe on a business trip. When the rebellious lad falls overboard from the steamship, he is saved from death by humble fisherman Manuel Fidello (Spencer Tracy) and forced by the captain of the fishing schooner (Lionel Barrymore) to become a low-ranking member of the ship's crew alongside the captain's own son (Mickey Rooney).",,PG,Victor Fleming,"John Lee Mahin, Marc Connelly, Dale Van Every, Marc Connolly",Freddie Bartholomew, Spencer Tracy, Lionel Barrymore,13691,42695,MGM,Fresh,94,18,Upright,89,3811,0,17,1,bb80b913-a013-4ff1-8c07-7e0ff28c4557
The Good Earth,1937,Metro-Goldwyn-Mayer,Nominee,0,1937,138,Drama,Romance,NG,7.5,4753,"Inspired by a Pearl S. Buck novel, this inspiring drama follows the many ups and downs in the lives of Chinese farmers Wang Lung (Paul Muni) and O-Lan (Luise Rainer). Though the couple initially finds success farming their land, their fortunes decline, and lean times follow. Later, when Wang Lung and O-Lan once again reap bountiful harvests and raise a family, the presence of the beautiful young Lotus (Tilly Losch) complicates their lives further.",,NR,Sidney Franklin,"Claudine West, Talbot Jennings, Tess Slesinger, Donald Davis",Paul Muni, Luise Rainer, Walter Connolly,13544,39814,Warner Bros. Pictures,Fresh,95,19,Upright,76,1100,4,18,1,6d9e1900-6589-43ae-b80f-863d03cbbdaa
A Star Is Born,1937,Selznick International Pictures,Nominee,0,1937,111,Drama,Romance,NG,7.3,9301,"When a young actress (Janet Gaynor) arrives in Hollywood with hopes of stardom, a chance encounter places her under the wing of older actor Norman Maine (Fredric March). Adopting the stage name Vicki Lester, she co-stars with Norman in a major motion picture, but his success is clearly fading even as her career begins. After the couple wed, Vicki's fame continues to grow, but Norman descends into alcoholism, and she must decide between pursuing her dream and caring for him.",,PG,William Wellman,"Dorothy Parker, Alan Campbell, Bob Carson, Ring Lardner Jr., Budd Schulberg, David O. Selznick, William Wellman, John Lee Mahin, Ben Hecht, Adela Rogers St. John, W. Howard Greene",Janet Gaynor, Fredric March, Adolphe Menjou,13625,42223,Image Entertainment Inc.,Fresh,100,20,Upright,78,2686,5,20,0,ea80da77-0642-48c5-a2eb-1d03fb856d2f
Stage Door,1937,RKO Radio,Nominee,0,1937,92,Comedy,Drama,NG,7.8,8040,"A boardinghouse for female theater actresses gets a new arrival in the form of Terry Randall (Katharine Hepburn), an upper-class woman pursuing her dreams against her wealthy father's wishes. At first, her status makes her unpopular with the other boarders, particularly her roommate, Jean (Ginger Rogers). As Terry becomes better acquainted with the other girls and their shared ambitions, rivalry -- both professional and romantic -- explodes among them.",,NR,Gregory La Cava,"Gregory La Cava, Morrie Ryskind, Anthony Veiller",Katharine Hepburn, Ginger Rogers, Adolphe Menjou,13796,41760,Warner Bros. Pictures,Fresh,96,23,Upright,87,4809,3,22,1,5a739df8-434b-46e9-82c0-9b8f71c9c946
The Awful Truth,1937,Columbia,Nominee,0,1937,90,Comedy,Romance,NG,7.7,18721,"Jerry (Cary Grant) and Lucy (Irene Dunne) are a married couple who doubt each other's fidelity: Jerry suspects Lucy and her music teacher (Alexander D'Arcy) of spending an evening together, and Lucy is convinced Jerry lied about a business trip. When the jealous pair file for divorce, both rush into new relationships, but quickly realize their love never died. The soon-to-be-divorced husband and wife then both scramble to spoil each other's chances for newfound romance.",Great comic direction by Leo McCarrey and memorable onscreen chemistry from stars Cary Grant and Irene Dunne make this screwball comedy a charmer.,NR,Leo McCarey,Viña Delmar,Cary Grant, Irene Dunne, Ralph Bellamy,13809,41015,Columbia Pictures,Fresh,93,29,Upright,87,7597,4,27,2,fe542b19-4de9-465d-8b97-19ff88872e56
The Life of Emile Zola,1937,Warner Bros.,Winner,1,1937,116,Biography,Drama,NG,7.2,7771,"After struggling to establish himself, author Emile Zola (Paul Muni) wins success writing about the unsavory side of Paris and settles into a comfortable upper-class life. However, Zola's complacency is shaken when Jewish officer Alfred Dreyfus (Joseph Schildkraut) is imprisoned for being a spy. Realizing that Dreyfus is an innocent victim of anti-Semitism, Zola boldly pens a newspaper article exposing the truth, is charged with libel and must defend himself in a dramatic courtroom testimony.","Well-written, well-meaning and solidly acted, The Life of Emile Zola film may ultimately be more earnest than dramatically engaging.",G,Irving Rapper,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",Paul Muni, Joseph Schildkraut, Gale Sondergaard,13790,42364,MGM,Fresh,82,33,Upright,73,2348,9,27,6,0538990c-5cfe-4b21-b733-386740e5cbd6
Alexander's Ragtime Band,1938,20th Century-Fox,Nominee,0,1938,106,Drama,Music,Musical,6.9,2042,"In 1910s San Francisco, concert violinist Roger Grant (Tyrone Power), also known as Alexander, abandons classical music to join a ragtime band with pianist Charlie Dwyer (Don Ameche) and singer Stella Kirby (Alice Faye). Alexander's switch dismays his high society family. As two decades pass and popular music transitions from ragtime to jazz, the ragtime band trio grows both stronger and weaker through love, breakups and war -- all along the rising and falling tide of their musical success.",,NR,Henry King,"Lamar Trotti, Kathryn Scola, Irving Berlin, Richard Sherman",Tyrone Power, Alice Faye, Don Ameche,14108,42743,20th Century Fox,Fresh,80,5,Spilled,46,1421,1,4,1,a380741f-f2ba-415d-a5b5-f81f826f93a7
Test Pilot,1938,Metro-Goldwyn-Mayer,Nominee,0,1938,119,Drama,Romance,NG,6.9,2323,,,NR,Victor Fleming,,Clark Gable, Myrna Loy, Spencer Tracy,,,MGM,,75,8,,68,250,1,6,2,ce4b4264-affe-4e48-9d0b-49b6532449b2
The Citadel,1938,Metro-Goldwyn-Mayer,Nominee,0,1938,110,Drama,NG,NG,7.1,2047,"Andrew Manson (Robert Donat), an idealistic young doctor, takes up a new post in a Welsh mining town where his curiosity is roused by a persistent cough in his mining patients. His investigation leads him to believe the mine is contributing to the aggravation of tuberculosis among the men. When he reveals his findings and proposes treatment, he finds opposition from not only the mine's owners but the miners themselves. Sensing his inefficacy, Manson moves to London in search of a purpose.",,NR,King Vidor,"Ian Dalrymple, Frank Wead, Elizabeth Hill, Emlyn Williams",Robert Donat, Rosalind Russell, Ralph Richardson,14182,41611,MGM,Fresh,89,9,Upright,72,411,4,8,1,84a31ac1-04d7-4810-af0a-b639d529f159
Four Daughters,1938,Warner Bros.-First National,Nominee,0,1938,90,Drama,Music,Romance,6.9,1881,,,NR,Michael Curtiz,,Claude Rains, Rosemary Lane, John Garfield,,,Warner Bros. Pictures,,100,10,,80,250,1,10,0,bf7bd76e-f5f7-4a5a-a24e-6ce226a605e9
Pygmalion,1938,Metro-Goldwyn-Mayer,Nominee,0,1938,89,Comedy,Drama,Romance,7.8,8321,,,NR,Anthony Asquith,,Leslie Howard, Wendy Hiller, Wilfrid Lawson,,,Pascal Film Productions,,94,18,,85,2500,4,17,1,31a7d601-261c-478d-969c-5f64d33d531d
Boys Town,1938,Metro-Goldwyn-Mayer,Nominee,0,1938,96,Biography,Drama,NG,7.3,5449,"The devout but iron-willed Father Flanagan (Spencer Tracy) leads a community called Boys Town, a different sort of juvenile detention facility where, instead of being treated as underage criminals, the boys are shepherded into making themselves better people. But hard-nosed petty thief and pool shark Whitey Marsh (Mickey Rooney), the impulsive and violent younger brother of an imprisoned murderer, might be too much for the good father's tough-love system.",,G,Norman Taurog,"Dore Schary, Eleanore Griffin, John Meehan",Spencer Tracy, Mickey Rooney, Henry Hull,14132,39814,MGM,Fresh,90,20,Upright,81,4219,2,18,2,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
Jezebel,1938,Warner Bros.,Nominee,0,1938,104,Drama,Romance,NG,7.5,12874,,,NR,William Wyler,,Bette Davis, Henry Fonda, George Brent,,,Warner Bros. Pictures,,95,21,,82,5000,0,20,1,70ed2948-fca0-42ab-8421-51bc760a62d4
